insertId,"labels.""k8s-pod/app""","labels.""k8s-pod/app_kubernetes_io/managed-by""","labels.""k8s-pod/app_kubernetes_io/name""","labels.""k8s-pod/pod-template-hash""","labels.""k8s-pod/version""",logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.container_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,textPayload,timestamp
3swxxh5b4ebvuxcvz,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"      write_access: [Array],
",2021-04-06T15:25:51.157815433Z
3swxxh5b4ebvuxcvy,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"      read_access: [],
",2021-04-06T15:25:51.157794542Z
3swxxh5b4ebvuxcvx,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"      created_at: '',
",2021-04-06T15:25:51.157789859Z
3swxxh5b4ebvuxcvw,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"      author: '0x0000000000000000000000000000000000000000',
",2021-04-06T15:25:51.157784300Z
3swxxh5b4ebvuxcvv,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"      version_id: '0x2f1e369cca485e22f7d7775d76a9f7451611c62234221d8b5370fa8e047dd44b',
",2021-04-06T15:25:51.157779026Z
3swxxh5b4ebvuxcvu,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"      document_id: '0x2f1e369cca485e22f7d7775d76a9f7451611c62234221d8b5370fa8e047dd44b',
",2021-04-06T15:25:51.157773870Z
3swxxh5b4ebvuxcvt,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"    header: {
",2021-04-06T15:25:51.157769261Z
3swxxh5b4ebvuxcvs,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"  {
",2021-04-06T15:25:51.157764511Z
3swxxh5b4ebvuxcvr,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"  },
",2021-04-06T15:25:51.157759529Z
3swxxh5b4ebvuxcvq,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"    document_status: 'Created'
",2021-04-06T15:25:51.157754871Z
3swxxh5b4ebvuxcvp,gateway-0,spinnaker,gateway,58d64cc6bb,0.3.0,projects/centrifuge-production-x/logs/stdout,2021-04-06T15:25:52.150116961Z,production,gateway,europe-west3-a,default,gateway-0-58d64cc6bb-c59lf,centrifuge-production-x,k8s_container,INFO,"    updatedAt: 2021-04-06T15:25:51.144Z,
",2021-04-06T15:25:51.157749944Z
